,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city,AttendanceID,StandingsID,gameID,total,home,away,weekly_attendance,year,wins,loss,points_for,points_against,points_differential,margin_of_victory,strength_of_schedule,simple_rating,offensive_ranking,defensive_ranking,playoffs,sb_winner
29,Atlanta Falcons,Carolina Panthers,Atlanta Falcons,0,Sun,October 29,1:02PM,13,12,281,3,209,4,Falcons,Atlanta,Panthers,Carolina,Falcons20009,Falcons2000,20009Atlanta Falcons,964579.0,422814.0,541765.0,46178.0,2000,4,12,252,413,-161,-10.1,1.5,-8.6,-5.7,-2.9,No Playoffs,No Superbowl
30,Atlanta Falcons,Tampa Bay Buccaneers,Tampa Bay Buccaneers,0,Sun,November 5,1:02PM,27,14,267,2,283,4,Falcons,Atlanta,Buccaneers,Tampa Bay,Falcons200010,Falcons2000,200010Atlanta Falcons,964579.0,422814.0,541765.0,70097.0,2000,4,12,252,413,-161,-10.1,1.5,-8.6,-5.7,-2.9,No Playoffs,No Superbowl
31,Atlanta Falcons,Seattle Seahawks,Seattle Seahawks,0,Sun,December 3,1:05PM,30,10,335,0,301,4,Falcons,Atlanta,Seahawks,Seattle,Falcons200014,Falcons2000,200014Atlanta Falcons,964579.0,422814.0,541765.0,44680.0,2000,4,12,252,413,-161,-10.1,1.5,-8.6,-5.7,-2.9,No Playoffs,No Superbowl
32,Atlanta Falcons,Kansas City Chiefs,Atlanta Falcons,0,Sun,December 24,1:05PM,29,13,288,0,259,1,Falcons,Atlanta,Chiefs,Kansas City,Falcons200017,Falcons2000,200017Atlanta Falcons,964579.0,422814.0,541765.0,41017.0,2000,4,12,252,413,-161,-10.1,1.5,-8.6,-5.7,-2.9,No Playoffs,No Superbowl
33,Pittsburgh Steelers,Baltimore Ravens,Baltimore Ravens,0,Sun,September 3,1:02PM,16,0,336,0,223,1,Steelers,Pittsburgh,Ravens,Baltimore,Steelers20001,Steelers2000,20001Pittsburgh Steelers,987037.0,440426.0,546611.0,55049.0,2000,9,7,321,255,66,4.1,-0.2,3.9,0.6,3.3,No Playoffs,No Superbowl
34,Pittsburgh Steelers,Tennessee Titans,Tennessee Titans,0,Sun,September 24,1:01PM,23,20,372,3,364,1,Steelers,Pittsburgh,Titans,Tennessee,Steelers20004,Steelers2000,20004Pittsburgh Steelers,987037.0,440426.0,546611.0,51769.0,2000,9,7,321,255,66,4.1,-0.2,3.9,0.6,3.3,No Playoffs,No Superbowl
35,Pittsburgh Steelers,Cincinnati Bengals,Pittsburgh Steelers,0,Sun,October 15,1:01PM,15,0,274,0,232,3,Steelers,Pittsburgh,Bengals,Cincinnati,Steelers20007,Steelers2000,20007Pittsburgh Steelers,987037.0,440426.0,546611.0,54328.0,2000,9,7,321,255,66,4.1,-0.2,3.9,0.6,3.3,No Playoffs,No Superbowl
36,Pittsburgh Steelers,Cleveland Browns,Pittsburgh Steelers,0,Sun,October 22,4:05PM,22,0,248,0,104,3,Steelers,Pittsburgh,Browns,Cleveland,Steelers20008,Steelers2000,20008Pittsburgh Steelers,987037.0,440426.0,546611.0,57659.0,2000,9,7,321,255,66,4.1,-0.2,3.9,0.6,3.3,No Playoffs,No Superbowl
37,Pittsburgh Steelers,Philadelphia Eagles,Philadelphia Eagles,0,Sun,November 12,1:01PM,26,23,290,1,322,1,Steelers,Pittsburgh,Eagles,Philadelphia,Steelers200011,Steelers2000,200011Pittsburgh Steelers,987037.0,440426.0,546611.0,56702.0,2000,9,7,321,255,66,4.1,-0.2,3.9,0.6,3.3,No Playoffs,No Superbowl
38,Pittsburgh Steelers,Jacksonville Jaguars,Jacksonville Jaguars,0,Sun,November 19,8:35PM,34,24,417,2,302,5,Steelers,Pittsburgh,Jaguars,Jacksonville,Steelers200012,Steelers2000,200012Pittsburgh Steelers,987037.0,440426.0,546611.0,50925.0,2000,9,7,321,255,66,4.1,-0.2,3.9,0.6,3.3,No Playoffs,No Superbowl
39,Pittsburgh Steelers,Oakland Raiders,Pittsburgh Steelers,0,Sun,December 3,1:01PM,21,20,311,1,390,2,Steelers,Pittsburgh,Raiders,Oakland,Steelers200014,Steelers2000,200014Pittsburgh Steelers,987037.0,440426.0,546611.0,55811.0,2000,9,7,321,255,66,4.1,-0.2,3.9,0.6,3.3,No Playoffs,No Superbowl
40,Pittsburgh Steelers,Washington Redskins,Pittsburgh Steelers,0,Sat,December 16,12:37PM,24,3,374,1,271,5,Steelers,Pittsburgh,Redskins,Washington,Steelers200016,Steelers2000,200016Pittsburgh Steelers,987037.0,440426.0,546611.0,58183.0,2000,9,7,321,255,66,4.1,-0.2,3.9,0.6,3.3,No Playoffs,No Superbowl
41,Cleveland Browns,Jacksonville Jaguars,Jacksonville Jaguars,0,Sun,September 3,1:02PM,27,7,398,0,249,1,Browns,Cleveland,Jaguars,Jacksonville,Browns20001,Browns2000,20001Cleveland Browns,1057139.0,581544.0,475595.0,72418.0,2000,3,13,161,419,-258,-16.1,1.5,-14.6,-9.1,-5.5,No Playoffs,No Superbowl
42,Cleveland Browns,Pittsburgh Steelers,Cleveland Browns,0,Sun,September 17,1:02PM,23,20,377,1,336,1,Browns,Cleveland,Steelers,Pittsburgh,Browns20003,Browns2000,20003Cleveland Browns,1057139.0,581544.0,475595.0,73018.0,2000,3,13,161,419,-258,-16.1,1.5,-14.6,-9.1,-5.5,No Playoffs,No Superbowl
43,Cleveland Browns,Baltimore Ravens,Baltimore Ravens,0,Sun,October 1,1:03PM,12,0,348,1,230,4,Browns,Cleveland,Ravens,Baltimore,Browns20005,Browns2000,20005Cleveland Browns,1057139.0,581544.0,475595.0,73018.0,2000,3,13,161,419,-258,-16.1,1.5,-14.6,-9.1,-5.5,No Playoffs,No Superbowl
44,Cleveland Browns,Cincinnati Bengals,Cincinnati Bengals,0,Sun,October 29,1:03PM,12,3,253,1,182,1,Browns,Cleveland,Bengals,Cincinnati,Browns20009,Browns2000,20009Cleveland Browns,1057139.0,581544.0,475595.0,73118.0,2000,3,13,161,419,-258,-16.1,1.5,-14.6,-9.1,-5.5,No Playoffs,No Superbowl
45,Cleveland Browns,New York Giants,New York Giants,0,Sun,November 5,1:03PM,24,3,370,1,193,1,Browns,Cleveland,Giants,New York,Browns200010,Browns2000,200010Cleveland Browns,1057139.0,581544.0,475595.0,72718.0,2000,3,13,161,419,-258,-16.1,1.5,-14.6,-9.1,-5.5,No Playoffs,No Superbowl
46,Cleveland Browns,New England Patriots,Cleveland Browns,0,Sun,November 12,1:03PM,19,11,272,0,286,4,Browns,Cleveland,Patriots,New England,Browns200011,Browns2000,200011Cleveland Browns,1057139.0,581544.0,475595.0,72618.0,2000,3,13,161,419,-258,-16.1,1.5,-14.6,-9.1,-5.5,No Playoffs,No Superbowl
47,Cleveland Browns,Philadelphia Eagles,Philadelphia Eagles,0,Sun,December 10,1:03PM,35,24,391,2,418,4,Browns,Cleveland,Eagles,Philadelphia,Browns200015,Browns2000,200015Cleveland Browns,1057139.0,581544.0,475595.0,72318.0,2000,3,13,161,419,-258,-16.1,1.5,-14.6,-9.1,-5.5,No Playoffs,No Superbowl
